id,tag,query,relevant_docs
0,Pengenalan FTMM,FTMM adalah,
1,Lokasi FTMM,Halo FTMM ada dimana?,
2,Informasi Kontak,Apakah FTMM mempunyai akun media sosial?,
3,Sejarah FTMM,Berapa jumlah mahasiswa FTMM?,
4,Prodi FTMM,Apakah ada jurusan yang hanya ada satu di Indonesia?,
5,Kepimpinan FTMM,Siapa pimpinan FTMM saat ini?,
6,Kontribusi FTMM,Karya apa saja yang sudah dihasilkan FTMM?,
7,Gelar Sarjana FTMM,Lulusan FTMM mendapatkan gelar apa?,
8,Identitas Bendera FTMM,Bendera FTMM berwarna apa?,
9,Identitas Logo FTMM,Logo FTMM berwarna apa?,
10,Visi FTMM,Apa visi dari FTMM?,
11,Misi FTMM,Apa Misi dari FTMM?,
12,Visi RN,Apa Visi dari program studi Rekayasa Nanoteknologi?,
13,Misi RN,Apa Misi dari program studi Rekayasa Nanoteknologi?,
14,Visi TE,Apa Visi dari program studi Teknik Elektro?,
15,Misi TE,Apa Misi dari program studi Teknik Elektro?,
16,Visi TI,Apa Visi dari program studi Teknik Industri?,
17,Misi TI,Apa Misi dari program studi Teknik Industri?,
18,Visi TRKB,Apa Visi dari program studi Teknik Robotika dan Kecerdasan Buatan,
19,Misi TRKB,Apa Misi dari program studi Teknik Robotika dan Kecerdasan Buatan,
20,Visi TSD,Apa Visi dari program studi Teknologi Sains Data,
21,Misi TSD,Apa Misi dari program studi Teknologi Sains Data,
22,Pendaftaran,Bagaimana mendaftar untuk menjadi mahasiswa FTMM?,
23,Organisasi,Di FTMM ada organisasi apa saja?,
24,BEM FTMM,Bagaimana BEM FTMM terbentuk?,
25,BLM FTMM,Apa itu BLM?,
26,Koordinator Prodi TSD,Siapa ketua koordinator program studi Teknologi Sains Data?,
27,Koordinator Prodi TE,Siapa ketua koordinator program studi Teknik Elektro,
28,Koordinator Prodi TRKB,Siapa ketua koordinator program studi Teknik Robotika dan Kecerdasan Buatan,
29,Koordinator Prodi TI,Siapa ketua koordinator program studi Teknik Industri?,
30,Koordinator Prodi RN,Siapa ketua koordinator program studi Rekayasa Nanoteknologi,
31,Tenaga kependidikan,Ada berapa jenis tenaga kerpendidikan di FTMM?,
32,Kelompok penelitian,Apakah ada kelompok penelitian di FTMM?,
33,Visi F&E Nanotechnology,Apa Visi dari Food and Environment Nanotechnology?,
34,Hasil F&E Nanotechnology,Apa saja yang dihasilkan dari kelompok FoodEnviroment Nanotechnology?,
35,Publikasi F&E Nanotechnology,Publikasi apa saja yang dihasilkan dari kelompok FoodEnviroment Nanotechnology?,
36,Sumber Dana F&E Nanotechnology,Kelompok Food Enviroment Nanotechnology mendapatkan sumber dana dari mana?,
37,Visi Nanotechnology & Nanomedicine,Apa Visi dari Nanotechnology and Nanomedicine?,
38,Hasil Nanotechnology & Nanomedicine,Apa saja yang sudah dihasilkan oleh Nanotechnology and Nanomedicine?,
39,Sumber Dana Nanotechnology & Nanomedicine,Kelompok Nanotechnology and Nanomedicine mendapatkan sumber dana dari mana?,
40,HFS Enginering,Apa itu kelompok penelitian Human Factor System Enginering?,
41,Ruang lingkup HFS Enginering,Bagaimana ruang lingkup kelompok penelitian Human Factor System Enginering?,
42,Sumber Dana HFS Enginering,Kelompok Human Factor System Enginering mendapatkan dana dari mana?,
43,AMC Research,Apa itu Advanced Manufacturing and Computational Approach?,
44,Ruang lingkup AMC Research,Bagaimana ruang lingkup Advanced Manufacturing and Computational Approach?,
45,Sumber dana AMC Research,Kelompok Advanced Manufacturing and Computational Approach mendapatkan dana darimana ? ,
46,DDSS Research,Apa itu Data-Driven Decision support System?,
47,Topik DDSS Research,Kelompok Data-Driven Decision support system mengajukan topik apa?,
48,Robotics & Mechatronics,Apa itu kelompok Robotics and Mechatronics?,
49,Bidang Robotics & Mechatronics,Kelompok Robotics and Mechatronics ada di bidang apa?,
50,Sumber Dana Robotics & Mechatronics,Kelompok dari Robotics and Mechatronics mendapatkan dana dari mana?,
51,"DH,CL,IS Research","Apa itu Digital Health, Computational Learning, Intelligent System?",
52,"Bidang DH,CL,IS Research","Kelompok Digital Health, Compulational Learning, Intelligent System mencakup bidang apa?",
53,"Sumber Dana DH,CL,IS Research",Sumber dana dari kelompok Digital Health. Compulational Learning. Intelligent didapatkan dari mana?,
54,"Publikasi DH,CL,IS Research","Publikasi apa saja yang dihasilkan dari kelompok Compulational Learning, Intelligent System?",
55,R & SE Technology,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,
56,Bidang R & SE Technology,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,
57,IE & C Engineering,Apa itu Intelligent Power and Control Engineering ? ,
58,Bidang IE & C Engineering,Kelompok Intelligent Power and Control Engineering  bergerak dibidang apa?,
59,Fasilitas IE & C Engineering,Apa saja fasilitas yang ada pada kelompok Intelligent power and Control Engineering?,
60,Sumber Dana IE & C Engineering,Kelompok Intelligent Power and Control Engineering mendapatkan sumber dana darimana?,
