id,tag,query,relevant_docs,title_1,title_2,ss_openai,ss_hf,ss_google,mmr_openai,mmr_hf,mmr_google
0,Pengenalan FTMM,FTMM adalah,"[92, 75]",Sejarah FTMM.txt,Prestasi Mahasiswa.txt,"[92, 32]","[92, 93]","[8, 35]","[92, 74]","[92, 48]","[8, 93]"
1,Lokasi FTMM,Halo FTMM ada dimana?,"[92, 32]",Sejarah FTMM.txt,FTMM Overview.txt,"[32, 92]","[93, 68]","[8, 35]","[32, 8]","[32, 54]","[8, 16]"
2,Informasi Kontak,Apakah FTMM mempunyai akun media sosial?,[81],QnA.txt,,"[81, 37]","[93, 68]","[8, 35]","[81, 37]","[93, 54]","[8, 93]"
3,Sejarah FTMM,Berapa jumlah mahasiswa FTMM?,[92],Sejarah FTMM.txt,,"[75, 55]","[75, 93]","[8, 75]","[75, 81]","[75, 81]","[8, 55]"
4,Prodi FTMM,Apakah ada jurusan yang hanya ada satu di Indonesia?,"[93, 32]",Selayang Pandang FTMM.txt,FTMM Overview.txt,"[32, 52]","[95, 86]","[8, 9]","[32, 52]","[95, 93]","[8, 15]"
5,Kepimpinan FTMM,Siapa pimpinan FTMM saat ini?,"[73, 74]",Pimpinan FTMM.txt,ppu-pemira-gelar-pengambilan-no-urut-arsalan-no-1-devita-no-2.txt,"[73, 74]","[74, 93]","[8, 35]","[73, 74]","[74, 93]","[8, 16]"
6,Kontribusi FTMM,Karya apa saja yang sudah dihasilkan FTMM?,"[75, 48]",Prestasi Mahasiswa.txt,Karya FTMM.txt,"[75, 48]","[93, 92]","[8, 35]","[75, 48]","[92, 44]","[8, 93]"
7,Gelar Sarjana FTMM,Lulusan FTMM mendapatkan gelar apa?,"[104, 106]",teknik-industri-program-studi.txt,Teknologi Sains Data.txt,"[92, 75]","[92, 75]","[8, 35]","[92, 102]","[92, 66]","[8, 55]"
8,Identitas Bendera FTMM,Bendera FTMM berwarna apa?,"[42, 63]",identitas-ftmm.txt,Panduan-GrafisSimpleVer.pdf,"[42, 63]","[63, 59]","[8, 73]","[42, 8]","[63, 48]","[8, 16]"
9,Identitas Logo FTMM,Logo FTMM berwarna apa?,"[63, 42]",Panduan-GrafisSimpleVer.pdf,identitas-ftmm.txt,"[63, 42]","[63, 59]","[8, 65]","[63, 8]","[63, 81]","[8, 42]"
10,Visi FTMM,Apa visi dari FTMM?,"[85, 110]",Rencana Strategis Fakultas Teknologi Maju dan Multidisiplin.txt,Visi Misi.txt,"[85, 75]","[92, 93]","[8, 35]","[85, 81]","[92, 63]","[8, 93]"
11,Misi FTMM,Apa Misi dari FTMM?,"[85, 110]",Rencana Strategis Fakultas Teknologi Maju dan Multidisiplin.txt,Visi Misi.txt,"[92, 68]","[32, 92]","[8, 73]","[92, 81]","[32, 86]","[8, 55]"
12,Visi RN,Apa Visi dari program studi Rekayasa Nanoteknologi?,"[84, 83]",rekayasa-nanoteknologi-program-studi.txt,Rekayasa Nanoteknologi.txt,"[84, 83]","[83, 84]","[80, 83]","[84, 31]","[83, 30]","[80, 89]"
13,Misi RN,Apa Misi dari program studi Rekayasa Nanoteknologi?,"[83, 84]",Rekayasa Nanoteknologi.txt,rekayasa-nanoteknologi-program-studi.txt,"[83, 84]","[83, 84]","[80, 83]","[83, 31]","[83, 30]","[80, 97]"
14,Visi TE,Apa Visi dari program studi Teknik Elektro?,[103],teknik-elektro-program-studi.txt,,"[103, 104]","[103, 104]","[80, 110]","[103, 56]","[103, 88]","[80, 8]"
15,Misi TE,Apa Misi dari program studi Teknik Elektro?,"[103, 86]",teknik-elektro-program-studi.txt,Rencana Strategis.txt,"[103, 86]","[103, 17]","[80, 110]","[103, 97]","[103, 62]","[80, 8]"
16,Visi TI,Apa Visi dari program studi Teknik Industri?,"[104, 98]",teknik-industri-program-studi.txt,staf-dosen-prodi-teknik-industri.txt,"[104, 98]","[104, 17]","[80, 104]","[104, 99]","[104, 88]","[80, 8]"
17,Misi TI,Apa Misi dari program studi Teknik Industri?,"[104, 98]",teknik-industri-program-studi.txt,staf-dosen-prodi-teknik-industri.txt,"[104, 98]","[104, 17]","[80, 104]","[104, 97]","[104, 86]","[80, 15]"
18,Visi TRKB,Apa Visi dari program studi Teknik Robotika dan Kecerdasan Buatan,"[99, 91]",staf-dosen-prodi-teknik-robotika-dan-kecerdasan-buatan.txt,ROBOTICS AND MECHATRONICS.txt,"[99, 91]","[99, 91]","[8, 29]","[99, 48]","[99, 37]","[8, 99]"
19,Misi TRKB,Apa Misi dari program studi Teknik Robotika dan Kecerdasan Buatan,"[99, 91]",staf-dosen-prodi-teknik-robotika-dan-kecerdasan-buatan.txt,ROBOTICS AND MECHATRONICS.txt,"[99, 91]","[99, 91]","[8, 110]","[99, 48]","[99, 37]","[8, 99]"
20,Visi TSD,Apa Visi dari program studi Teknologi Sains Data,"[106, 100]",Teknologi Sains Data.txt,staf-dosen-prodi-teknologi-sains-data.txt,"[106, 100]","[106, 86]","[8, 100]","[106, 77]","[106, 80]","[8, 106]"
21,Misi TSD,Apa Misi dari program studi Teknologi Sains Data,"[106, 100]",Teknologi Sains Data.txt,staf-dosen-prodi-teknologi-sains-data.txt,"[106, 100]","[106, 18]","[8, 100]","[106, 97]","[106, 18]","[8, 106]"
22,Pendaftaran,Bagaimana mendaftar untuk menjadi mahasiswa FTMM?,"[66, 3]",pendaftaran-mahasiswa.txt,Alur Pendaftaran Online Mahasiswa Baru.txt,"[6, 81]","[6, 93]","[75, 8]","[6, 75]","[32, 3]","[80, 8]"
23,Organisasi,Di FTMM ada organisasi apa saja?,"[2, 92]",Aktivitas Mahasiswa FTMM.txt,Sejarah FTMM.txt,"[2, 92]","[32, 93]","[8, 35]","[2, 81]","[32, 16]","[8, 81]"
24,BEM FTMM,Bagaimana BEM FTMM terbentuk?,"[12, 92]",BEM FTMM.txt,Sejarah FTMM.txt,"[12, 92]","[32, 12]","[8, 35]","[12, 37]","[12, 90]","[8, 12]"
25,BLM FTMM,Apa itu BLM?,[16],BLM FTMM.txt,,"[16, 42]","[16, 66]","[8, 16]","[16, 56]","[16, 26]","[8, 16]"
26,Koordinator Prodi TSD,Siapa ketua koordinator program studi Teknologi Sains Data?,"[100, 106]",staf-dosen-prodi-teknologi-sains-data.txt,Teknologi Sains Data.txt,"[100, 106]","[88, 86]","[100, 80]","[100, 53]","[88, 62]","[100, 15]"
27,Koordinator Prodi TE,Siapa ketua koordinator program studi Teknik Elektro,"[103, 98]",teknik-elektro-program-studi.txt,staf-dosen-prodi-teknik-industri.txt,"[103, 98]","[103, 88]","[107, 98]","[103, 73]","[103, 9]","[107, 89]"
28,Koordinator Prodi TRKB,Siapa ketua koordinator program studi Teknik Robotika dan Kecerdasan Buatan,"[99, 98]",staf-dosen-prodi-teknik-robotika-dan-kecerdasan-buatan.txt,staf-dosen-prodi-teknik-industri.txt,"[99, 98]","[99, 91]","[99, 8]","[99, 73]","[99, 37]","[99, 8]"
29,Koordinator Prodi TI,Siapa ketua koordinator program studi Teknik Industri?,[98],staf-dosen-prodi-teknik-industri.txt,,"[98, 100]","[104, 88]","[80, 98]","[98, 39]","[104, 73]","[80, 98]"
30,Koordinator Prodi RN,Siapa ketua koordinator program studi Rekayasa Nanoteknologi,"[97, 84]",staf-dosen-prodi-rekayasa-nanoteknologi.txt,rekayasa-nanoteknologi-program-studi.txt,"[97, 84]","[83, 84]","[97, 29]","[97, 109]","[83, 88]","[97, 8]"
31,Tenaga kependidikan,Ada berapa jenis tenaga kerpendidikan di FTMM?,[107],tenaga-kependidikan.txt,,"[92, 32]","[86, 93]","[80, 93]","[92, 107]","[92, 101]","[80, 8]"
32,Kelompok penelitian,Apakah ada kelompok penelitian di FTMM?,[89],research-groups.txt,,"[92, 35]","[93, 86]","[73, 8]","[92, 37]","[93, 48]","[73, 15]"
33,Visi F&E Nanotechnology,Apa Visi dari Food and Environment Nanotechnology?,"[31, 67]",FOOD AND ENVIRONMENT NANOTECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt,"[31, 67]","[31, 67]","[89, 29]","[31, 83]","[31, 67]","[89, 67]"
34,Hasil F&E Nanotechnology,Apa saja yang dihasilkan dari kelompok FoodEnviroment Nanotechnology?,"[31, 67]",FOOD AND ENVIRONMENT NANOTECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt,"[31, 67]","[31, 58]","[89, 29]","[31, 48]","[31, 30]","[89, 67]"
35,Publikasi F&E Nanotechnology,Publikasi apa saja yang dihasilkan dari kelompok FoodEnviroment Nanotechnology?,"[31, 67]",FOOD AND ENVIRONMENT NANOTECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt,"[31, 67]","[31, 58]","[89, 29]","[31, 48]","[31, 30]","[89, 67]"
36,Sumber Dana F&E Nanotechnology,Kelompok Food Enviroment Nanotechnology mendapatkan sumber dana dari mana?,"[31, 97]",FOOD AND ENVIRONMENT NANOTECHNOLOGY.txt,staf-dosen-prodi-rekayasa-nanoteknologi.txt,"[31, 97]","[31, 67]","[89, 29]","[31, 13]","[67, 44]","[89, 15]"
37,Visi Nanotechnology & Nanomedicine,Apa Visi dari Nanotechnology and Nanomedicine?,"[58, 83]",NANOTECHNOLOGY AND NANOMEDICINE.txt,Rekayasa Nanoteknologi.txt,"[58, 83]","[58, 83]","[89, 8]","[58, 106]","[58, 90]","[89, 8]"
38,Hasil Nanotechnology & Nanomedicine,Apa saja yang sudah dihasilkan oleh Nanotechnology and Nanomedicine?,"[58, 67]",NANOTECHNOLOGY AND NANOMEDICINE.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt,"[58, 67]","[58, 83]","[29, 80]","[58, 44]","[58, 90]","[29, 67]"
39,Sumber Dana Nanotechnology & Nanomedicine,Kelompok Nanotechnology and Nanomedicine mendapatkan sumber dana dari mana?,[58],NANOTECHNOLOGY AND NANOMEDICINE.txt,,"[97, 84]","[58, 84]","[29, 80]","[97, 14]","[58, 14]","[29, 35]"
40,HFS Enginering,Apa itu kelompok penelitian Human Factor System Enginering?,"[40, 45]",HUMAN FACTOR AND SYSTEM ENGINEERING.txt,INTELLIGENT POWER AND CONTROL ENGINEERING.txt,"[40, 45]","[40, 69]","[40, 40]","[40, 94]","[40, 53]","[40, 8]"
41,Ruang lingkup HFS Enginering,Bagaimana ruang lingkup kelompok penelitian Human Factor System Enginering?,"[40, 29]",HUMAN FACTOR AND SYSTEM ENGINEERING.txt,fasilitas-penelitian.txt,"[40, 29]","[40, 69]","[9, 40]","[40, 30]","[40, 9]","[9, 89]"
42,Sumber Dana HFS Enginering,Kelompok Human Factor System Enginering mendapatkan dana dari mana?,"[40, 13]",HUMAN FACTOR AND SYSTEM ENGINEERING.txt,Bentuk Semangat Berwirausaha Melalui Dana Usaha.txt,"[40, 13]","[40, 49]","[15, 8]","[40, 13]","[40, 14]","[15, 89]"
43,AMC Research,Apa itu Advanced Manufacturing and Computational Approach?,[0],ADVANCED MANUFACTURING AND COMPUTATIONAL APPROACH.txt,,"[0, 91]","[0, 30]","[8, 89]","[0, 32]","[0, 93]","[8, 0]"
44,Ruang lingkup AMC Research,Bagaimana ruang lingkup Advanced Manufacturing and Computational Approach?,"[0, 29]",ADVANCED MANUFACTURING AND COMPUTATIONAL APPROACH.txt,fasilitas-penelitian.txt,"[0, 29]","[0, 30]","[29, 8]","[0, 30]","[0, 93]","[29, 8]"
45,Sumber dana AMC Research,Kelompok Advanced Manufacturing and Computational Approach mendapatkan dana darimana ? ,"[0, 29]",ADVANCED MANUFACTURING AND COMPUTATIONAL APPROACH.txt,fasilitas-penelitian.txt,"[0, 29]","[14, 49]","[29, 8]","[0, 14]","[13, 0]","[29, 8]"
46,DDSS Research,Apa itu Data-Driven Decision support System?,"[20, 106]",DATA-DRIVEN DECISION SUPPORT SYSTEM.txt,Teknologi Sains Data.txt,"[20, 106]","[20, 69]","[89, 20]","[20, 96]","[20, 69]","[89, 15]"
47,Topik DDSS Research,Kelompok Data-Driven Decision support system mengajukan topik apa?,[20],DATA-DRIVEN DECISION SUPPORT SYSTEM.txt,,"[20, 40]","[20, 69]","[89, 20]","[20, 96]","[20, 61]","[89, 20]"
48,Robotics & Mechatronics,Apa itu kelompok Robotics and Mechatronics?,"[91, 51]",ROBOTICS AND MECHATRONICS.txt,komunitas.txt,"[91, 51]","[91, 99]","[29, 91]","[91, 78]","[91, 53]","[29, 15]"
49,Bidang Robotics & Mechatronics,Kelompok Robotics and Mechatronics ada di bidang apa?,"[91, 29]",ROBOTICS AND MECHATRONICS.txt,fasilitas-penelitian.txt,"[91, 29]","[91, 29]","[29, 91]","[91, 78]","[91, 95]","[29, 15]"
50,Sumber Dana Robotics & Mechatronics,Kelompok dari Robotics and Mechatronics mendapatkan dana dari mana?,"[91, 51]",ROBOTICS AND MECHATRONICS.txt,komunitas.txt,"[91, 51]","[91, 99]","[29, 99]","[91, 13]","[91, 14]","[29, 15]"
51,"DH,CL,IS Research","Apa itu Digital Health, Computational Learning, Intelligent System?",[23],"DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",,"[23, 20]","[23, 69]","[89, 23]","[23, 48]","[23, 37]","[89, 8]"
52,"Bidang DH,CL,IS Research","Kelompok Digital Health, Compulational Learning, Intelligent System mencakup bidang apa?",[23],"DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",,"[23, 20]","[23, 69]","[89, 23]","[23, 110]","[23, 37]","[89, 53]"
53,"Sumber Dana DH,CL,IS Research",Sumber dana dari kelompok Digital Health. Compulational Learning. Intelligent didapatkan dari mana?,[23],"DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",,"[23, 20]","[23, 24]","[89, 8]","[23, 64]","[23, 35]","[89, 3]"
54,"Publikasi DH,CL,IS Research","Publikasi apa saja yang dihasilkan dari kelompok Compulational Learning, Intelligent System?",[23],"DIGITAL HEALTH, COMPUTATIONAL LEARNING, INTELLIGENT SYSTEMS.txt",,"[23, 20]","[86, 61]","[89, 8]","[23, 94]","[64, 45]","[89, 94]"
55,R & SE Technology,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,"[87, 67]",RENEWABLE AND SUSTAINABLE ENERGY TECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt,"[87, 67]","[87, 67]","[89, 80]","[87, 22]","[87, 49]","[89, 15]"
56,Bidang R & SE Technology,Kelompok riset renewable and Sustainable Energy Tecnology bergerak di bidang apa? ,"[87, 67]",RENEWABLE AND SUSTAINABLE ENERGY TECHNOLOGY.txt,Penerapan Nanoteknologi Dalam Pengembangan Energi Biomassa.txt,"[87, 67]","[87, 67]","[89, 80]","[87, 22]","[87, 49]","[89, 15]"
57,IE & C Engineering,Apa itu Intelligent Power and Control Engineering ? ,[45],INTELLIGENT POWER AND CONTROL ENGINEERING.txt,,"[45, 45]","[45, 45]","[8, 89]","[45, 90]","[45, 24]","[8, 45]"
58,Bidang IE & C Engineering,Kelompok Intelligent Power and Control Engineering  bergerak dibidang apa?,"[45, 91]",INTELLIGENT POWER AND CONTROL ENGINEERING.txt,ROBOTICS AND MECHATRONICS.txt,"[45, 91]","[45, 86]","[89, 110]","[45, 22]","[45, 93]","[89, 15]"
59,Fasilitas IE & C Engineering,Apa saja fasilitas yang ada pada kelompok Intelligent power and Control Engineering?,"[45, 30]",INTELLIGENT POWER AND CONTROL ENGINEERING.txt,fasilitas-penunjang-ftmm.txt,"[45, 30]","[45, 30]","[29, 89]","[45, 30]","[45, 53]","[29, 45]"
60,Sumber Dana IE & C Engineering,Kelompok Intelligent Power and Control Engineering mendapatkan sumber dana darimana?,[45],INTELLIGENT POWER AND CONTROL ENGINEERING.txt,,"[45, 49]","[45, 49]","[15, 107]","[45, 22]","[45, 13]","[15, 89]"
